;ID;PET;Date_2
195;1;22,60000038;07.06.1980
196;1;25,39999962;08.06.1980
197;1;27,89999962;09.06.1980
198;1;33,5;10.06.1980
199;1;27,70000076;11.06.1980
200;1;22,60000038;12.06.1980
201;1;14,80000019;13.06.1980
202;1;18,39999962;14.06.1980
203;1;23,29999924;15.06.1980
204;1;21,5;16.06.1980
205;1;22,89999962;17.06.1980
206;1;26;18.06.1980
207;1;25,5;19.06.1980
208;1;26,20000076;20.06.1980
209;1;30,79999924;21.06.1980
210;1;24,79999924;22.06.1980
211;1;30,60000038;23.06.1980
212;1;29,29999924;24.06.1980
213;1;24,79999924;25.06.1980
214;1;25,29999924;26.06.1980
215;1;19,79999924;27.06.1980
216;1;29;28.06.1980
217;1;16,79999924;29.06.1980
218;1;17,60000038;30.06.1980
219;1;21,70000076;01.07.1980
220;1;22,39999962;02.07.1980
221;1;23,89999962;03.07.1980
222;1;30,10000038;04.07.1980
223;1;22,20000076;05.07.1980
224;1;31,89999962;06.07.1980
225;1;9,399999619;07.07.1980
226;1;9,399999619;07.07.1980
227;1;16,60000038;08.07.1980
228;1;22,79999924;09.07.1980
229;1;25,39999962;10.07.1980
230;1;19,5;11.07.1980
231;1;13,60000038;12.07.1980
232;1;26,70000076;13.07.1980
233;1;13,5;14.07.1980
234;1;17,20000076;15.07.1980
235;1;20,70000076;16.07.1980
236;1;21,10000038;17.07.1980
237;1;18,20000076;18.07.1980
238;1;16,89999962;19.07.1980
239;1;18,60000038;20.07.1980
240;1;19,70000076;21.07.1980
241;1;27,60000038;22.07.1980
242;1;27,60000038;22.07.1980
243;1;32,59999847;23.07.1980
244;1;34,5;24.07.1980
245;1;26;25.07.1980
246;1;22,39999962;26.07.1980
247;1;22,29999924;27.07.1980
248;1;22,10000038;28.07.1980
249;1;24,60000038;29.07.1980
250;1;29;30.07.1980
251;1;23,29999924;31.07.1980
252;1;25,39999962;01.08.1980
253;1;27,5;02.08.1980
254;1;24,39999962;03.08.1980
255;1;22,39999962;04.08.1980
256;1;18;05.08.1980
257;1;25;06.08.1980
258;1;19;07.08.1980
259;1;14;08.08.1980
260;1;21,60000038;09.08.1980
261;1;22,89999962;10.08.1980
262;1;13,5;11.08.1980
263;1;14,89999962;12.08.1980
264;1;16,89999962;13.08.1980
265;1;25,5;14.08.1980
266;1;21,5;15.08.1980
267;1;14,5;16.08.1980
268;1;14,69999981;17.08.1980
269;1;14,69999981;17.08.1980
270;1;16,70000076;18.08.1980
271;1;13,5;19.08.1980
272;1;14,10000038;20.08.1980
273;1;16,20000076;21.08.1980
274;1;12,60000038;22.08.1980
275;1;10,89999962;23.08.1980
276;1;11,30000019;24.08.1980
277;1;18,20000076;25.08.1980
278;1;16,79999924;26.08.1980
279;1;9;27.08.1980
280;1;14,10000038;28.08.1980
281;1;13,60000038;29.08.1980
282;1;11,10000038;30.08.1980
283;1;22,10000038;31.08.1980
284;1;17,79999924;01.09.1980
285;1;3,400000095;02.09.1980
286;1;13,89999962;03.09.1980
287;1;13,19999981;04.09.1980
288;1;14,39999962;05.09.1980
289;1;17,39999962;06.09.1980
290;1;18,89999962;07.09.1980
291;1;15,80000019;08.09.1980
292;1;23;09.09.1980
293;1;19,39999962;10.09.1980
294;1;19,70000076;11.09.1980
295;1;19,10000038;12.09.1980
296;1;14,80000019;13.09.1980
297;1;15,10000038;14.09.1980
298;1;15,30000019;15.09.1980
299;1;13,19999981;16.09.1980
300;1;17,5;17.09.1980
301;1;17,79999924;18.09.1980
302;1;14,80000019;19.09.1980
303;1;12,30000019;20.09.1980
304;1;9,600000381;21.09.1980
305;1;11,30000019;22.09.1980
306;1;6,900000095;23.09.1980
307;1;1,600000024;24.09.1980
308;1;4,400000095;25.09.1980
309;1;7,099999905;26.09.1980
310;1;8;27.09.1980
311;1;5,900000095;28.09.1980
312;1;4,699999809;29.09.1980
313;1;3,700000048;30.09.1980
314;1;8,399999619;01.05.1981
315;1;10,60000038;02.05.1981
316;1;9;03.05.1981
317;1;11,19999981;04.05.1981
318;1;15,19999981;05.05.1981
319;1;19,10000038;06.05.1981
320;1;20,5;07.05.1981
321;1;28,79999924;08.05.1981
322;1;20,10000038;09.05.1981
323;1;25,79999924;10.05.1981
324;1;23;11.05.1981
325;1;11,60000038;12.05.1981
326;1;9,5;13.05.1981
327;1;14,60000038;14.05.1981
328;1;18,20000076;15.05.1981
329;1;9;16.05.1981
330;1;10,10000038;17.05.1981
331;1;13,19999981;18.05.1981
332;1;17,39999962;19.05.1981
333;1;20,10000038;20.05.1981
334;1;19,29999924;21.05.1981
335;1;23,5;22.05.1981
336;1;26,70000076;23.05.1981
337;1;29,10000038;24.05.1981
338;1;27,29999924;25.05.1981
339;1;27;26.05.1981
340;1;26,89999962;27.05.1981
341;1;26,70000076;28.05.1981
342;1;30,29999924;29.05.1981
343;1;25;30.05.1981
344;1;17,70000076;31.05.1981
345;1;19,89999962;01.06.1981
346;1;26;02.06.1981
347;1;19;03.06.1981
348;1;19,20000076;04.06.1981
349;1;24,79999924;05.06.1981
350;1;20,5;06.06.1981
351;1;23;07.06.1981
352;1;23,70000076;08.06.1981
353;1;30,10000038;09.06.1981
354;1;30,20000076;10.06.1981
355;1;26,5;11.06.1981
356;1;26,20000076;12.06.1981
357;1;26,10000038;13.06.1981
358;1;14,89999962;14.06.1981
359;1;19,5;15.06.1981
360;1;21,5;16.06.1981
361;1;20,60000038;17.06.1981
362;1;21,20000076;18.06.1981
363;1;25,5;19.06.1981
364;1;28,29999924;20.06.1981
365;1;28,5;21.06.1981
366;1;32,59999847;22.06.1981
367;1;30,79999924;23.06.1981
368;1;31,5;24.06.1981
369;1;31,5;24.06.1981
370;1;34,20000076;25.06.1981
371;1;33,70000076;26.06.1981
372;1;35,29999924;27.06.1981
373;1;38,40000153;28.06.1981
374;1;36,5;29.06.1981
375;1;33,90000153;30.06.1981
376;1;29,89999962;01.07.1981
377;1;19,79999924;02.07.1981
378;1;22,79999924;03.07.1981
379;1;28,79999924;04.07.1981
380;1;31,10000038;05.07.1981
381;1;30,89999962;06.07.1981
382;1;25,89999962;07.07.1981
383;1;26,20000076;08.07.1981
384;1;27,70000076;09.07.1981
385;1;22,70000076;10.07.1981
386;1;22;11.07.1981
387;1;27,79999924;12.07.1981
388;1;35,40000153;13.07.1981
389;1;33,29999924;14.07.1981
390;1;32,79999924;15.07.1981
391;1;24,5;16.07.1981
392;1;23,70000076;17.07.1981
393;1;29,20000076;18.07.1981
394;1;32,79999924;19.07.1981
395;1;33,5;20.07.1981
396;1;36,5;21.07.1981
397;1;36,20000076;22.07.1981
398;1;21,20000076;23.07.1981
399;1;29,89999962;24.07.1981
400;1;36,59999847;25.07.1981
