;ID;PET;Date_2
6320;2;28,70000076;01.05.1979
6321;2;26,79999924;02.05.1979
6322;2;26,70000076;03.05.1979
6323;2;29,20000076;04.05.1979
6324;2;21,70000076;05.05.1979
6325;2;24,39999962;06.05.1979
6326;2;26,79999924;07.05.1979
6327;2;27,60000038;08.05.1979
6328;2;32,40000153;09.05.1979
6329;2;31,39999962;10.05.1979
6330;2;35,40000153;11.05.1979
6331;2;32,40000153;12.05.1979
6332;2;29,79999924;13.05.1979
6333;2;27,20000076;14.05.1979
6334;2;24,89999962;15.05.1979
6335;2;29,60000038;16.05.1979
6336;2;31,29999924;17.05.1979
6337;2;32,59999847;18.05.1979
6338;2;32,29999924;19.05.1979
6339;2;32,40000153;20.05.1979
6340;2;32;21.05.1979
6341;2;31,5;22.05.1979
6342;2;23,39999962;23.05.1979
6343;2;29,39999962;24.05.1979
6344;2;34,79999924;25.05.1979
6345;2;34,09999847;26.05.1979
6346;2;34,5;27.05.1979
6347;2;38,79999924;28.05.1979
6348;2;33,59999847;29.05.1979
6349;2;31,89999962;30.05.1979
6350;2;35,29999924;31.05.1979
6351;2;34,40000153;01.06.1979
6352;2;34;02.06.1979
6353;2;25,39999962;03.06.1979
6354;2;30,89999962;04.06.1979
6355;2;20,5;05.06.1979
6356;2;29,20000076;06.06.1979
6357;2;27,5;07.06.1979
6358;2;32,20000076;08.06.1979
6359;2;36,5;09.06.1979
6360;2;39,40000153;10.06.1979
6361;2;34;11.06.1979
6362;2;25;12.06.1979
6363;2;28,60000038;13.06.1979
6364;2;31,5;14.06.1979
6365;2;33,70000076;15.06.1979
6366;2;36,90000153;16.06.1979
6367;2;40,59999847;17.06.1979
6368;2;41,90000153;18.06.1979
6369;2;41,20000076;19.06.1979
6370;2;41,09999847;20.06.1979
6371;2;38,5;21.06.1979
6372;2;38,20000076;22.06.1979
6373;2;31,89999962;23.06.1979
6374;2;30;24.06.1979
6375;2;35,40000153;25.06.1979
6376;2;34;26.06.1979
6377;2;35,70000076;27.06.1979
6378;2;35,79999924;28.06.1979
6379;2;34,5;29.06.1979
6380;2;32,70000076;30.06.1979
6381;2;33,90000153;01.07.1979
6382;2;32,20000076;02.07.1979
6383;2;34,79999924;03.07.1979
6384;2;39,20000076;04.07.1979
6385;2;35,40000153;05.07.1979
6386;2;23,29999924;06.07.1979
6387;2;26,5;07.07.1979
6388;2;26,5;07.07.1979
6389;2;31,39999962;08.07.1979
6390;2;37,59999847;09.07.1979
6391;2;40,59999847;10.07.1979
6392;2;34,90000153;11.07.1979
6393;2;26,79999924;12.07.1979
6394;2;24,70000076;13.07.1979
6395;2;22,39999962;14.07.1979
6396;2;27,60000038;15.07.1979
6397;2;27,89999962;16.07.1979
6398;2;23,39999962;17.07.1979
6399;2;29,60000038;18.07.1979
6400;2;29,5;19.07.1979
6401;2;36,70000076;20.07.1979
6402;2;42,09999847;21.07.1979
6403;2;39,79999924;22.07.1979
6404;2;35,09999847;23.07.1979
6405;2;32,90000153;24.07.1979
6406;2;29,29999924;25.07.1979
6407;2;25;26.07.1979
6408;2;28,20000076;27.07.1979
6409;2;33,70000076;28.07.1979
6410;2;33,59999847;29.07.1979
6411;2;23,39999962;30.07.1979
6412;2;31,10000038;31.07.1979
6413;2;36;01.08.1979
6414;2;35,5;02.08.1979
6415;2;36,70000076;03.08.1979
6416;2;39,40000153;04.08.1979
6417;2;37,20000076;05.08.1979
6418;2;31,29999924;06.08.1979
6419;2;34,79999924;07.08.1979
6420;2;26,70000076;08.08.1979
6421;2;23,79999924;09.08.1979
6422;2;29,20000076;10.08.1979
6423;2;37,29999924;11.08.1979
6424;2;40,20000076;12.08.1979
6425;2;39,90000153;13.08.1979
6426;2;35,79999924;14.08.1979
6427;2;29,39999962;15.08.1979
6428;2;32,5;16.08.1979
6429;2;30,70000076;17.08.1979
6430;2;32,5;18.08.1979
6431;2;38,20000076;19.08.1979
6432;2;35,20000076;20.08.1979
6433;2;40,70000076;21.08.1979
6434;2;42,20000076;22.08.1979
6435;2;38,79999924;23.08.1979
6436;2;38,09999847;24.08.1979
6437;2;36,90000153;25.08.1979
6438;2;34;26.08.1979
6439;2;41;27.08.1979
6440;2;41;27.08.1979
6441;2;37,90000153;28.08.1979
6442;2;29,70000076;29.08.1979
6443;2;33,29999924;30.08.1979
6444;2;25,89999962;31.08.1979
6445;2;23,70000076;01.09.1979
6446;2;30;02.09.1979
6447;2;31;03.09.1979
6448;2;31,60000038;04.09.1979
6449;2;29,5;05.09.1979
6450;2;29,29999924;06.09.1979
6451;2;33,59999847;07.09.1979
6452;2;27,5;08.09.1979
6453;2;22,29999924;09.09.1979
6454;2;21,10000038;10.09.1979
6455;2;27,60000038;11.09.1979
6456;2;28,39999962;12.09.1979
6457;2;23,39999962;13.09.1979
6458;2;30,70000076;14.09.1979
6459;2;32,09999847;15.09.1979
6460;2;26;16.09.1979
6461;2;14,89999962;17.09.1979
6462;2;16,70000076;18.09.1979
6463;2;19;19.09.1979
6464;2;23,39999962;20.09.1979
6465;2;24,70000076;21.09.1979
6466;2;29,29999924;22.09.1979
6467;2;35,29999924;23.09.1979
6468;2;31,89999962;24.09.1979
6469;2;34,09999847;25.09.1979
6470;2;35,5;26.09.1979
6471;2;29,20000076;27.09.1979
6472;2;24,89999962;28.09.1979
6473;2;23,79999924;29.09.1979
6474;2;29,39999962;30.09.1979
6475;2;18,5;01.05.1980
6476;2;25,20000076;02.05.1980
6477;2;12,39999962;03.05.1980
6478;2;17,60000038;04.05.1980
6479;2;24,60000038;05.05.1980
