;ID;Date_2;PET
170;1;14.05.1980;10
171;1;15.05.1980;13
172;1;16.05.1980;8,5
173;1;17.05.1980;13,10000038
174;1;18.05.1980;12
175;1;19.05.1980;3,599999905
176;1;20.05.1980;3,200000048
177;1;21.05.1980;3,700000048
178;1;22.05.1980;5,800000191
179;1;23.05.1980;7,599999905
180;1;24.05.1980;7,199999809
181;1;25.05.1980;11,89999962
182;1;26.05.1980;13,69999981
183;1;27.05.1980;9,5
184;1;28.05.1980;15,19999981
185;1;29.05.1980;25,89999962
186;1;30.05.1980;21,60000038
187;1;31.05.1980;21,79999924
188;1;01.06.1980;27,29999924
189;1;02.06.1980;24,79999924
190;1;03.06.1980;26,10000038
191;1;04.06.1980;20,79999924
192;1;05.06.1980;22,60000038
193;1;06.06.1980;26,89999962
194;1;07.06.1980;27,39999962
195;1;08.06.1980;34
196;1;09.06.1980;31,70000076
197;1;10.06.1980;28,60000038
198;1;11.06.1980;27,20000076
199;1;12.06.1980;18,89999962
200;1;13.06.1980;15,30000019
201;1;14.06.1980;19,5
202;1;15.06.1980;25,39999962
203;1;16.06.1980;27,5
204;1;17.06.1980;31,29999924
205;1;18.06.1980;29,5
206;1;19.06.1980;32,70000076
207;1;20.06.1980;32,09999847
208;1;21.06.1980;29,5
209;1;22.06.1980;20,60000038
210;1;23.06.1980;23,70000076
211;1;24.06.1980;26,29999924
212;1;25.06.1980;14,60000038
213;1;26.06.1980;30,10000038
214;1;27.06.1980;10,30000019
215;1;28.06.1980;18,20000076
216;1;29.06.1980;20,5
217;1;29.06.1980;20,5
218;1;30.06.1980;18,20000076
219;1;01.07.1980;19,39999962
220;1;02.07.1980;16,5
221;1;03.07.1980;17
222;1;04.07.1980;16,5
223;1;05.07.1980;17,5
224;1;06.07.1980;18,60000038
225;1;07.07.1980;20,10000038
226;1;08.07.1980;22,79999924
227;1;09.07.1980;29,29999924
228;1;10.07.1980;18,60000038
229;1;11.07.1980;6,5
230;1;12.07.1980;18,79999924
231;1;13.07.1980;19,60000038
232;1;14.07.1980;18,39999962
233;1;15.07.1980;21
234;1;16.07.1980;28,60000038
235;1;17.07.1980;14,30000019
236;1;18.07.1980;11,69999981
237;1;19.07.1980;16,29999924
238;1;20.07.1980;18,60000038
239;1;21.07.1980;22,29999924
